Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630423009489,0405C530,true,Rx,0,5,02,DA,FF,94,00,00,00,00,
-1762630423009361,0401E411,true,Rx,0,7,00,01,FE,FF,00,00,00,00,
-1762630423009233,0401E411,true,Rx,0,7,01,01,02,00,00,00,00,00,
-1762630423009105,0401E451,true,Rx,0,8,01,BF,72,FE,FF,FF,00,00,
-1762630423008977,0401E451,true,Rx,0,8,00,BF,4B,FF,FF,FF,00,00,
-1762630423008849,0405C530,true,Rx,0,5,01,AB,FE,D6,00,00,00,00,
-1762630423005692,040A2011,true,Rx,0,8,E8,FF,FB,FF,CE,03,C2,8E,
-1762630423005564,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,C2,8E,
-1762630423005436,04072001,true,Rx,0,4,00,00,00,01,00,00,00,00,
-1762630423004156,040A2012,true,Rx,0,8,11,00,F8,FF,EC,03,C3,8E,
-1762630423003986,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,C3,8E,
-1762630422999890,0401E412,true,Rx,0,7,00,01,04,00,00,00,00,00,
-1762630422999762,0401E412,true,Rx,0,7,01,01,00,00,00,00,00,00,
-1762630422999634,0401E452,true,Rx,0,8,01,C8,C9,F5,FF,FF,00,00,
-1762630422999463,0401E452,true,Rx,0,8,00,C8,44,F5,FF,FF,00,00,
-1762630422996093,0405280C,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630422992125,0405280B,true,Rx,0,2,00,00,00,00,00,00,00,00,
-1762630422989394,0401E411,true,Rx,0,7,00,01,FF,FF,00,00,00,00,
-1762630422989266,0401E411,true,Rx,0,7,01,01,06,00,00,00,00,00,
-1762630422989138,0401E451,true,Rx,0,8,01,D3,72,FE,FF,FF,00,00,
-1762630422988967,0401E451,true,Rx,0,8,00,D3,4B,FF,FF,FF,00,00,
-1762630422987176,04030C82,true,Rx,0,4,01,05,10,00,00,00,00,00,
-1762630422987005,04030CE2,true,Rx,0,8,8D,00,00,00,C2,64,1E,67,
-1762630422985682,040A2011,true,Rx,0,8,E9,FF,F6,FF,D0,03,D6,8E,
-1762630422985554,04056411,true,Rx,0,8,F8,FF,05,00,06,FD,D6,8E,
-1762630422984146,040A2012,true,Rx,0,8,0C,00,F7,FF,EA,03,D7,8E,
-1762630422984018,04056412,true,Rx,0,8,F9,FF,F8,FF,4A,04,D7,8E,
-1762630422979880,0401E412,true,Rx,0,7,00,01,FF,FF,00,00,00,00,
-1762630422979752,0401E412,true,Rx,0,7,01,01,FE,FF,00,00,00,00,
-1762630422979581,0401E452,true,Rx,0,8,01,DC,C9,F5,FF,FF,00,00,
-1762630422979453,0401E432,true,Rx,0,6,00,00,00,00,00,00,00,00,
-1762630422979325,0401E432,true,Rx,0,6,01,00,00,00,00,00,00,00,
-1762630422979197,0401E452,true,Rx,0,8,00,DC,44,F5,FF,FF,00,00,
-1762630422973309,0405240A,true,Rx,0,3,07,00,00,00,00,00,00,00,
