Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1762630423009542,040D6843,true,Rx,0,3,00,00,00,00,00,00,00,00,
-1762630423007878,0405240A,true,Rx,0,3,EF,FF,00,00,00,00,00,00,
-1762630423006896,040D6863,true,Rx,0,6,01,EE,01,00,00,02,00,00,
-1762630423005531,04030C82,true,Rx,0,4,00,01,00,00,00,00,00,00,
-1762630423005360,04030CE2,true,Rx,0,8,8D,00,00,00,C2,64,1E,67,
-1762630423004934,0401E411,true,Rx,0,7,00,05,D6,00,D1,FE,01,00,
-1762630423004806,0401E411,true,Rx,0,7,01,05,08,00,DC,FE,01,00,
-1762630423004635,0401E451,true,Rx,0,8,00,03,82,01,00,00,E7,F8,
-1762630423004507,0401E451,true,Rx,0,8,01,03,7A,00,00,00,96,FA,
-1762630423004422,040D6843,true,Rx,0,3,01,00,00,00,00,00,00,00,
-1762630423000198,04072001,true,Rx,0,4,01,01,01,01,00,00,00,00,
-1762630422999985,0401E481,true,Rx,0,4,11,01,D0,FE,00,00,00,00,
-1762630422999857,0401E481,true,Rx,0,4,11,00,D8,FE,00,00,00,00,
-1762630422999771,0401E481,true,Rx,0,4,12,00,45,FE,00,00,00,00,
-1762630422999686,0401E481,true,Rx,0,4,12,01,63,FF,00,00,00,00,
-1762630422996870,0405C40F,true,Rx,0,8,00,01,72,42,E6,1B,66,F6,
-1762630422996742,0405C42F,true,Rx,0,8,00,64,2A,DF,7C,FF,CB,00,
-1762630422996614,0405C40F,true,Rx,0,8,01,01,17,42,73,1C,C3,F4,
-1762630422996443,0405C42F,true,Rx,0,8,01,64,1D,DF,00,00,FA,FF,
-1762630422996358,0405C52F,true,Rx,0,5,00,90,00,09,00,00,00,00,
-1762630422996188,0405C40F,true,Rx,0,8,02,01,BA,43,90,1C,6C,F4,
-1762630422996060,0405C42F,true,Rx,0,8,02,64,DE,DF,E7,FF,6D,00,
-1762630422995974,0405C52F,true,Rx,0,5,02,64,00,3A,00,00,00,00,
-1762630422995846,0405C52F,true,Rx,0,5,01,57,00,1E,01,00,00,00,
-1762630422995078,0405C410,true,Rx,0,8,00,01,1B,36,AB,1F,3F,0C,
-1762630422994950,0405C430,true,Rx,0,8,00,64,90,24,FE,FE,00,01,
-1762630422994822,0405C410,true,Rx,0,8,01,01,89,36,33,1E,DF,0A,
-1762630422994652,0405C430,true,Rx,0,8,01,64,12,25,17,03,7C,FD,
-1762630422994566,0405C530,true,Rx,0,5,00,E2,FE,D3,00,00,00,00,
-1762630422994396,0405C410,true,Rx,0,8,02,01,A6,36,F2,1D,CD,0A,
-1762630422994268,0405C430,true,Rx,0,8,02,64,B5,24,7E,02,FE,FD,
-1762630422994182,0405C530,true,Rx,0,5,02,D5,FD,AC,02,00,00,00,
-1762630422994054,0405C530,true,Rx,0,5,01,12,00,CC,02,00,00,00,
-1762630422991836,040A2012,true,Rx,0,8,DB,FF,A6,FF,05,06,0E,85,
-1762630422991708,04056412,true,Rx,0,8,FA,FF,0E,00,8D,00,0E,85,
-1762630422991537,0401E412,true,Rx,0,7,00,05,43,00,88,FE,01,00,
-1762630422991366,0401E412,true,Rx,0,7,01,05,F3,FF,1B,FF,01,00,
-1762630422991238,0401E452,true,Rx,0,8,01,0F,C6,01,00,00,3C,FC,
-1762630422991110,0401E452,true,Rx,0,8,00,0F,C9,FF,FF,FF,DC,F6,
-1762630422990214,040A2011,true,Rx,0,8,D0,FF,A9,FF,54,03,11,85,
-1762630422990086,04056411,true,Rx,0,8,FE,FF,13,00,8E,FD,11,85,
-1762630422983943,0401E411,true,Rx,0,7,00,05,E3,00,D4,FE,01,00,
-1762630422983815,0401E411,true,Rx,0,7,01,05,08,00,CC,FE,01,00,
-1762630422983644,0401E451,true,Rx,0,8,00,18,7F,01,00,00,EA,F8,
-1762630422983516,0401E451,true,Rx,0,8,01,18,77,00,00,00,99,FA,
-1762630422980145,0401E481,true,Rx,0,4,11,01,D0,FE,00,00,00,00,
-1762630422980017,0401E481,true,Rx,0,4,11,00,D8,FE,00,00,00,00,
-1762630422979932,0401E481,true,Rx,0,4,12,00,45,FE,00,00,00,00,
-1762630422979804,0401E481,true,Rx,0,4,12,01,63,FF,00,00,00,00,
-1762630422971868,040A2012,true,Rx,0,8,CA,FF,56,00,43,03,22,85,
-1762630422971698,04056412,true,Rx,0,8,FB,FF,0E,00,87,00,22,85,
-1762630422971442,0401E412,true,Rx,0,7,00,05,3C,00,71,FE,01,00,
-1762630422971314,0401E412,true,Rx,0,7,01,05,F7,FF,34,FF,01,00,
-1762630422971186,0401E452,true,Rx,0,8,01,23,C3,01,00,00,5F,FC,
